trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,up,0.005,db,0.051253084,1,0.0009589,233.3165807,234.3335419,234.3335419,234.3167305,234.6325808,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,0.005,db,0.051282596,0,0.0004651,235.6585805,236.6771871,236.6771871,236.6602316,236.9929645,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,0.005,db,0.051282596,1,0.001189,238.1059713,239.1206354,239.1206354,239.1206354,239.4196824,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,0.051282596,1,0.0004197,240.4613403,241.4804136,241.4804136,241.4636652,241.7800267,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,down,0.005,db,0.051253084,1,0.0011954,242.826557,243.841158,243.841158,243.841158,244.1401686,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.051253084,1,0.0008099,245.2500809,246.267799,246.267799,246.251082,246.5830587,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,down,0.005,db,0.051253084,1,0.0004709,247.6257123,248.645378,248.645378,248.6276123,248.9600843,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,down,0.005,db,0.051223589,1,0.0007872,249.9874504,251.004744,251.004744,250.9879137,251.3037248,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.051223589,1,0.001399,252.3806695,253.3981067,253.3981067,253.3814874,253.6975534,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,up,0.005,db,0.051253084,0,0.0007969,254.7082974,255.7251798,255.7251798,255.7083401,256.024159,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,up,0.005,db,0.051253084,1,0.0012398,257.102772,258.1186578,258.1186578,258.1019554,258.4178708,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,up,0.005,db,0.051253084,1,0.0003832,259.4584944,260.4785791,260.4785791,260.4618896,260.7781225,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,down,0.005,db,0.051223589,1,0.0010784,261.8754054,262.8891063,262.8891063,262.8891063,263.2048159,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,0.005,db,0.051223589,1,0.0012159,264.2662711,265.2823352,265.2823352,265.2658571,265.5812773,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,down,0.005,db,0.051223589,1,0.000557,266.6913742,267.7091256,267.7091256,267.6923759,268.0082514,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,up,0.005,db,0.051253084,0,0.0008741,269.2028093,270.2191326,270.2191326,270.2023331,270.5344222,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,up,0.005,db,0.051253084,1,0.0005709,271.6611222,272.6789664,272.6789664,272.6622315,272.9781198,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,up,0.005,db,0.051282596,0,0.0008356,273.9908407,275.0059188,275.0059188,274.989161,275.3049706,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
